File Name,Compression Ratio 1,Compression Ratio 2
1.gif,30126,34190,0.13490008630418907
10.gif,21825,26805,0.2281786941580756
11.gif,39676,41193,0.038234701078737776
12.gif,30583,32539,0.06395710034986757
13.gif,27497,31798,0.15641706367967415
14.gif,50817,52259,0.028376330755455852
15.gif,38269,44105,0.15249941205675613
16.gif,44773,46209,0.032072901078775154
17.gif,43465,44892,0.032831013459105024
18.gif,47178,48961,0.037793039128407306
19.gif,31850,39209,0.23105180533751962
2.gif,26980,31907,0.18261675315048184
20.gif,35935,43014,0.1969945735355503
21.gif,24226,27121,0.11949971105423925
22.gif,28972,32472,0.12080629573381195
23.gif,15825,21550,0.3617693522906793
24.gif,20986,24554,0.17001810730963499
25.gif,15616,21521,0.37813780737704916
26.gif,23635,30405,0.2864396022847472
27.gif,16191,20543,0.26879130381075905
28.gif,20357,26318,0.29282310753057916
29.gif,42336,43938,0.03784013605442177
3.gif,23393,25597,0.09421621852690976
30.gif,31277,33181,0.06087540365124532
31.gif,52466,53116,0.012388975717607593
32.gif,36101,38995,0.08016398437716407
33.gif,30478,32301,0.05981363606535862
34.gif,35967,40165,0.11671810270525759
35.gif,25664,34341,0.33810006234413964
36.gif,34152,37332,0.09311314125087843
37.gif,32406,37717,0.16388940319693884
38.gif,24880,36326,0.460048231511254
39.gif,18391,24623,0.3388613995976293
4.gif,26746,33059,0.2360352949973828
40.gif,21719,30822,0.419126110778581
41.gif,28616,30918,0.08044450656975119
42.gif,28126,29963,0.06531323330726019
43.gif,28402,32247,0.135377790296458
44.gif,71348,71928,0.008129169703425464
45.gif,28358,32194,0.1352704704139925
46.gif,40748,42466,0.0421615784823795
47.gif,45175,49494,0.0956059767570559
48.gif,23918,27076,0.13203445104105693
49.gif,42694,44131,0.03365812526350307
5.gif,25688,30319,0.1802787293677982
6.gif,29799,35422,0.18869760730225846
7.gif,43775,45178,0.03205025699600229
8.gif,23993,26595,0.10844829742008086
9.gif,30711,34107,0.11057927127088014
lenna.gif,20765,25603,0.23298820130026487
